Brand, Price, Name
Crucial®,$13.490,DDR3L 2GB 1600MHz Value RAM
Kingston®,$18.990,DDR3L 4GB 1600MHz Value RAM
Kingston®,$21.990,DDR4 4GB 2400MHz Value RAM
G.Skill®,$21.990,DDR3 4GB 1333MHz Value RAM
Crucial®,$22.990,DDR4 4GB 2400MHz Value RAM
Kingston®,$23.990,DDR3 4GB 1333MHz Value RAM
Kingston®,$23.990,DDR4 4GB 2666MHz HyperX FURY (Black)
Crucial®,$23.990,DDR3L 4GB 1600MHz Value RAM
Crucial®,$23.990,DDR4 4GB 2666MHz Value RAM
Crucial®,$37.990,DDR4 8GB 2400MHz Value RAM
Kingston®,$38.990,DDR3L 8GB 1600MHz Value RAM
G.Skill®,$38.990,DDR4 8GB 2400MHz Value RAM
XPG®,$38.990,DDR4 8GB 2666Mhz GAMMIX D10 (Black)
Crucial®,$39.990,DDR4 8GB 2666MHz Value RAM
Kingston®,$40.990,DDR4 8GB 2400MHz Value RAM
Kingston®,$41.990,DDR4 8GB 2666MHz HyperX FURY (Black)
Crucial®,$41.990,DDR3L 8GB 1600MHz Value RAM
Kingston®,$41.990,DDR4 8GB 2666MHz Value RAM
G.Skill®,$42.990,DDR4 8GB 2800MHz Ripjaws V Series
Corsair®,$44.990,DDR4 8GB 2400MHz Value RAM
Kingston®,$47.990,DDR3 8GB 1333MHz Value RAM
Kingston®,$48.990,DDR4 8GB 3000MHz HyperX FURY (Black)
Corsair®,$48.990,DDR4 8GB 3000MHz Vengeance LPX (Black)
Corsair®,$49.990,DDR3 8GB 1600MHz Vengeance
XPG®,$49.990,DDR4 8GB 3000MHz GAMMIX D30 (Black)	
XPG®,$49.990,DDR4 8GB 2666MHz GAMMIX D30 (Red)
Corsair®,$52.990,DDR4 8GB 2666MHz Vengeance LPX (Black)
Kingston®,$59.990,DDR4 8GB 3000MHz HyperX Fury RGB
Kingston®,$62.990,DDR4 8GB 3000MHz HyperX Predator RGB
XPG®,$74.990,DDR4 16GB 3000MHz Spectrix D41 RGB (Black)
Kingston®,$79.990,DDR4 16GB 2666MHz HyperX FURY (Black)
Ballistix®,$79.990,DDR4 16GB 3000MHz Ballistix Sport LT (Red)
Crucial®,$82.990,DDR4 16GB 2666MHz Value RAM
XPG®,$89.990,DDR4 16GB 2666MHz GAMMIX D30 (Red)
XPG®,$89.990,DDR4 16GB 2666MHz GAMMIX D10 (Black)
Kingston®,$91.990,DDR4 16GB 3000MHz HyperX FURY (Black)
G.Skill®,$93.990,DDR4 16GB (2x8GB) 3200MHz Flare X
Corsair®,$93.990,DDR4 16GB 2666MHz Vengeance LPX (Black)
Corsair®,$96.990,DDR4 16GB 3000MHz Vengeance LPX (Black)
Kingston®,$99.990,DDR4 16GB 3000MHz HyperX Fury RGB
Kingston®,$119.990,DDR4 16GB (2x8GB) 3000MHz HyperX Fury RGB
Corsair®,$119.990,DDR4 16GB (2x8GB) 3000MHz Vengeance Pro RGB (Black)
