Name,Price,Brand
Extensor Cable Riser PEC 300 PCI-E x16 ,29.990,Deepcool
Video NVIDIA GeForce GT710 1GB DDR3,64.990,MSI
Video NVIDIA GeForce GT710 1GB DDR3,64.990,Galax
Video NVIDIA GeForce GT710 1GB GDDR5,69.990,Asus
Video NVIDIA Gaming GeForce GTX1650 4GB Dual,239.990,Asus
Video NVIDIA GeForce GTX1650 4GB D6 Gaming X,239.990,MSI
Video NVIDIA GeForce GTX1650S O4GB Phoenix,254.990,Asus
Video NVIDIA GeForce GTX1650S O4GB TUF,269.990,Asus
Video NVIDIA GeForce GTX1650S 4GB Gaming X,269.990,MSI
Video NVIDIA GeForce GTX1660S 6GB Phoenix,299.990,Asus
Video NVIDIA Geforce GTX1660Ti O6GB Ventus,369.990,MSI
Video NVIDIA GeForce GTX1660S O6GB TUF,369.990,Asus
Video NVIDIA GeForce GTX1660S O6GB Dual EVO,374.990,Asus
Video NVIDIA Geforce GTX1660Ti 6GB Gaming X,379.990,MSI
Video NVIDIA GeForce RTX2060 Dual O6G EVO,398.990,Asus
